user_id,customer_name,estimated_age,age_group,top_genre,avg_rating,total_ratings
152,Matt Reed,6,Kids (5-12),Fantasy,4.59,72
153,Leo Wood,6,Kids (5-12),Adventure,4.23,58
154,Owen Cook,8,Kids (5-12),Fantasy,4.73,32
155,Luke Lee,7,Kids (5-12),Adventure,4.01,72
156,Leo Reed,6,Kids (5-12),Comedy,3.97,10
157,Dan Adams,5,Kids (5-12),Comedy,3.81,73
158,Joe Lee,8,Kids (5-12),Adventure,4.19,11
159,Amy Clark,8,Kids (5-12),Children,4.62,61
160,June Fox,7,Kids (5-12),Adventure,4.49,9
161,Mark Smith,7,Kids (5-12),Comedy,4.53,58
162,Joe Fox,11,Kids (5-12),Animation,3.71,5
163,Alice Moore,7,Kids (5-12),Adventure,4.11,12
164,Ben Hall,12,Kids (5-12),Fantasy,4.32,21
165,Amy Wood,12,Kids (5-12),Animation,3.7,24
166,Mark Davis,6,Kids (5-12),Children,3.94,27
167,Sara Clark,8,Kids (5-12),Adventure,3.98,68
168,Rob Davis,10,Kids (5-12),Children,4.52,69
169,Dave Smith,5,Kids (5-12),Fantasy,3.82,56
170,Emily Cole,11,Kids (5-12),Comedy,4.12,52
171,Tim Hayes,5,Kids (5-12),Fantasy,4.58,56
172,Sean Lee,8,Kids (5-12),Fantasy,4.78,33
173,Alex Gray,9,Kids (5-12),Animation,4.81,45
174,Nick Ward,8,Kids (5-12),Comedy,3.94,15
175,Lily Martin,9,Kids (5-12),Animation,4.25,46
176,Mia Adams,7,Kids (5-12),Fantasy,4.15,42
177,Sara Ward,7,Kids (5-12),Fantasy,4.07,61
178,Sam White,10,Kids (5-12),Children,4.02,50
179,Adam Hill,8,Kids (5-12),Children,4.68,38
180,Max Martin,8,Kids (5-12),Comedy,4.79,49
