user_id,customer_name,estimated_age,age_group,top_genre,avg_rating,total_ratings,genre_encoded,cluster,segment
42,Mike White,42,Adults (35+),Comedy,3.57,440,4,2,Teens (13-17)
43,Dan Lee,13,Teens (13-17),Comedy,4.55,114,4,0,Kids (5-12)
44,Ben Cole,29,Young Adults (18-35),Comedy,3.35,48,4,1,Young Adults (18-35)
45,Anna Lewis,41,Adults (35+),Comedy,3.88,399,4,2,Teens (13-17)
46,Anna Taylor,26,Young Adults (18-35),Action,4.0,42,0,0,Kids (5-12)
47,Scott Ward,60,Adults (35+),Drama,3.05,140,7,1,Young Adults (18-35)
48,Dan Wood,19,Young Adults (18-35),Action,4.03,33,0,0,Kids (5-12)
49,Leo Bell,32,Young Adults (18-35),Drama,4.26,21,7,3,Adults (35+)
50,Josh Cook,47,Adults (35+),Drama,2.78,310,7,1,Young Adults (18-35)
51,Ben Lewis,33,Adults (35+),Comedy,3.78,359,4,2,Teens (13-17)
52,Ruby Gray,30,Young Adults (18-35),Action,4.48,130,0,0,Kids (5-12)
53,Ryan Lewis,37,Adults (35+),Drama,5.0,20,7,3,Adults (35+)
54,Grace White,47,Adults (35+),Drama,3.03,33,7,1,Young Adults (18-35)
55,Dan Fox,44,Adults (35+),Drama,2.84,25,7,1,Young Adults (18-35)
56,Ben Wood,29,Young Adults (18-35),Action,3.8,46,0,0,Kids (5-12)
57,Nora Young,48,Adults (35+),Comedy,3.39,476,4,2,Teens (13-17)
58,Leo Moore,36,Adults (35+),Drama,3.9,112,7,3,Adults (35+)
59,Sean Reed,57,Adults (35+),Drama,4.36,107,7,3,Adults (35+)
60,Jake Young,37,Adults (35+),Drama,3.73,22,7,3,Adults (35+)
61,Jack Ross,36,Adults (35+),Drama,4.05,39,7,3,Adults (35+)
62,Emma White,25,Young Adults (18-35),Action,4.08,366,0,0,Kids (5-12)
63,Dan Brown,27,Young Adults (18-35),Comedy,3.63,271,4,1,Young Adults (18-35)
64,Scott Fox,32,Adults (35+),Drama,3.77,517,7,2,Teens (13-17)
65,Iris Hayes,62,Adults (35+),Drama,4.03,34,7,3,Adults (35+)
66,Nick Moore,37,Adults (35+),Drama,4.02,345,7,3,Adults (35+)
67,Scott Bell,21,Young Adults (18-35),Action,3.97,36,0,0,Kids (5-12)
68,Zoe White,42,Adults (35+),Comedy,3.23,1260,4,2,Teens (13-17)
69,Alex Lee,26,Young Adults (18-35),Drama,4.37,46,7,0,Kids (5-12)
70,Luke King,49,Adults (35+),Drama,4.32,62,7,3,Adults (35+)
71,Matt Young,29,Young Adults (18-35),Action,3.6,35,0,1,Young Adults (18-35)
72,Eric Adams,23,Young Adults (18-35),Drama,4.16,45,7,0,Kids (5-12)
73,Ruby King,41,Adults (35+),Comedy,3.71,210,4,1,Young Adults (18-35)
74,Eric Baker,46,Adults (35+),Drama,4.27,177,7,3,Adults (35+)
75,Lisa Hayes,24,Young Adults (18-35),Action,3.23,69,0,1,Young Adults (18-35)
76,Rose White,26,Young Adults (18-35),Drama,3.08,119,7,1,Young Adults (18-35)
77,Anna Young,20,Young Adults (18-35),Action,4.0,29,0,0,Kids (5-12)
78,Matt Green,23,Young Adults (18-35),Action,3.16,61,0,1,Young Adults (18-35)
79,Zoe Brown,25,Young Adults (18-35),Action,4.2,64,0,0,Kids (5-12)
80,Kyle Jones,23,Young Adults (18-35),Thriller,4.26,167,15,3,Adults (35+)
81,Mark Clark,32,Young Adults (18-35),Action,2.77,26,0,1,Young Adults (18-35)
82,Leo Martin,30,Young Adults (18-35),Action,3.38,227,0,1,Young Adults (18-35)
83,June Brown,26,Young Adults (18-35),Drama,3.31,118,7,1,Young Adults (18-35)
84,Alice White,50,Adults (35+),Drama,3.69,293,7,3,Adults (35+)
85,June Lee,57,Adults (35+),Drama,3.71,34,7,3,Adults (35+)
86,Ella King,17,Teens (13-17),Action,3.93,70,0,0,Kids (5-12)
87,Nora Price,14,Teens (13-17),Drama,3.95,21,7,0,Kids (5-12)
88,John Ward,56,Adults (35+),Drama,4.04,56,7,3,Adults (35+)
89,Owen Davis,40,Adults (35+),Comedy,3.47,518,4,2,Teens (13-17)
90,Leo Hayes,54,Adults (35+),Drama,4.07,54,7,3,Adults (35+)
91,Ruby Reed,19,Young Adults (18-35),Action,3.4,575,0,2,Teens (13-17)
92,Dan Reed,14,Teens (13-17),Drama,3.94,24,7,0,Kids (5-12)
93,Alex Moore,13,Teens (13-17),Adventure,4.29,97,1,0,Kids (5-12)
94,Mark Hill,28,Young Adults (18-35),Comedy,3.04,56,4,1,Young Adults (18-35)
95,Lisa Lewis,30,Young Adults (18-35),Drama,4.06,168,7,3,Adults (35+)
96,Grace Smith,26,Young Adults (18-35),Action,3.88,78,0,0,Kids (5-12)
97,Owen Hayes,20,Young Adults (18-35),Action,4.19,36,0,0,Kids (5-12)
98,Owen King,14,Teens (13-17),Drama,3.91,92,7,0,Kids (5-12)
99,Eva Reed,28,Young Adults (18-35),Comedy,3.87,53,4,0,Kids (5-12)
100,Tim Green,36,Adults (35+),Comedy,3.95,148,4,3,Adults (35+)
101,Anna Reed,15,Teens (13-17),Thriller,4.02,166,15,3,Adults (35+)
102,Zoe Smith,17,Teens (13-17),Thriller,4.8,341,15,3,Adults (35+)
103,Iris Brown,15,Teens (13-17),Film-Noir,3.1,256,9,2,Teens (13-17)
104,Sean Clark,16,Teens (13-17),Animation,4.94,555,2,0,Kids (5-12)
105,June Martin,16,Teens (13-17),War,2.91,550,16,2,Teens (13-17)
106,Max Bell,17,Teens (13-17),Documentary,4.28,418,6,2,Teens (13-17)
107,Steve Brown,32,Young Adults (18-35),Thriller,3.63,263,15,3,Adults (35+)
108,John Brown,18,Young Adults (18-35),Western,3.88,235,17,3,Adults (35+)
109,Emily Brown,55,Adults (35+),Adventure,3.07,42,1,1,Young Adults (18-35)
110,Ruby Clark,42,Adults (35+),Fantasy,4.17,229,8,3,Adults (35+)
111,Mia Ross,64,Adults (35+),Western,3.94,258,17,3,Adults (35+)
112,Amy Martin,24,Young Adults (18-35),Children,2.74,451,3,2,Teens (13-17)
113,Jake White,32,Young Adults (18-35),Adventure,4.18,110,1,0,Kids (5-12)
114,Ruby Lee,45,Adults (35+),Children,3.12,204,3,1,Young Adults (18-35)
115,Josh Lee,16,Teens (13-17),Crime,3.2,265,5,2,Teens (13-17)
116,Kyle Price,38,Adults (35+),Adventure,4.13,563,1,2,Teens (13-17)
117,Kate Hayes,14,Teens (13-17),Mystery,3.71,228,13,3,Adults (35+)
118,Rob Fox,14,Teens (13-17),Musical,2.51,409,12,2,Teens (13-17)
119,Max Wood,27,Young Adults (18-35),Mystery,4.24,579,13,2,Teens (13-17)
120,Rose Gray,22,Young Adults (18-35),Documentary,3.24,69,6,1,Young Adults (18-35)
121,Eva Fox,36,Adults (35+),Horror,2.64,498,10,2,Teens (13-17)
122,Tim Brown,40,Adults (35+),Adventure,4.9,92,1,0,Kids (5-12)
123,Ryan Baker,37,Adults (35+),Drama,3.51,593,7,2,Teens (13-17)
124,Ella Moore,36,Adults (35+),Animation,3.55,588,2,2,Teens (13-17)
125,Matt Ward,24,Young Adults (18-35),Horror,3.1,415,10,2,Teens (13-17)
126,John Lee,44,Adults (35+),Romance,3.29,84,14,3,Adults (35+)
127,Eva King,53,Adults (35+),Children,2.68,228,3,1,Young Adults (18-35)
128,Dave Lewis,15,Teens (13-17),Animation,4.7,388,2,0,Kids (5-12)
129,Chris Fox,27,Young Adults (18-35),Thriller,2.52,577,15,2,Teens (13-17)
130,Dave Cook,38,Adults (35+),Comedy,3.16,119,4,1,Young Adults (18-35)
131,Eva Scott,15,Teens (13-17),Documentary,4.22,280,6,0,Kids (5-12)
132,Emily Reed,19,Young Adults (18-35),Animation,4.09,293,2,0,Kids (5-12)
133,Nick Martin,15,Teens (13-17),Crime,4.35,574,5,2,Teens (13-17)
134,Ruby Jones,35,Adults (35+),Children,2.69,162,3,1,Young Adults (18-35)
135,Anna Hayes,22,Young Adults (18-35),Mystery,2.82,325,13,2,Teens (13-17)
136,Amy Reed,15,Teens (13-17),Documentary,4.21,115,6,0,Kids (5-12)
137,Ryan Price,63,Adults (35+),Mystery,4.93,168,13,3,Adults (35+)
138,Sara Ross,14,Teens (13-17),Mystery,2.56,350,13,2,Teens (13-17)
139,Alice Price,62,Adults (35+),Drama,3.17,120,7,1,Young Adults (18-35)
140,Amy Hill,16,Teens (13-17),Drama,3.0,481,7,2,Teens (13-17)
141,Emily King,14,Teens (13-17),Action,4.15,418,0,0,Kids (5-12)
142,Leo Cole,15,Teens (13-17),IMAX,4.1,419,11,2,Teens (13-17)
143,Tim Baker,45,Adults (35+),Action,2.79,277,0,1,Young Adults (18-35)
144,Owen Ross,19,Young Adults (18-35),Children,3.99,363,3,0,Kids (5-12)
145,Sam King,31,Young Adults (18-35),Thriller,2.79,600,15,2,Teens (13-17)
146,Eric Gray,16,Teens (13-17),Action,3.8,561,0,2,Teens (13-17)
147,Claire Moore,41,Adults (35+),IMAX,3.58,348,11,3,Adults (35+)
148,Eva Hill,62,Adults (35+),Children,4.3,317,3,3,Adults (35+)
149,Nora Clark,48,Adults (35+),Horror,3.51,312,10,3,Adults (35+)
150,Claire Baker,16,Teens (13-17),Musical,4.19,188,12,3,Adults (35+)
151,Kate White,8,Kids (5-12),Adventure,3.77,36,1,0,Kids (5-12)
152,Matt Reed,6,Kids (5-12),Fantasy,4.59,72,8,0,Kids (5-12)
153,Leo Wood,6,Kids (5-12),Adventure,4.23,58,1,0,Kids (5-12)
154,Owen Cook,8,Kids (5-12),Fantasy,4.73,32,8,0,Kids (5-12)
155,Luke Lee,7,Kids (5-12),Adventure,4.01,72,1,0,Kids (5-12)
156,Leo Reed,6,Kids (5-12),Comedy,3.97,10,4,0,Kids (5-12)
157,Dan Adams,5,Kids (5-12),Comedy,3.81,73,4,0,Kids (5-12)
158,Joe Lee,8,Kids (5-12),Adventure,4.19,11,1,0,Kids (5-12)
159,Amy Clark,8,Kids (5-12),Children,4.62,61,3,0,Kids (5-12)
160,June Fox,7,Kids (5-12),Adventure,4.49,9,1,0,Kids (5-12)
161,Mark Smith,7,Kids (5-12),Comedy,4.53,58,4,0,Kids (5-12)
162,Joe Fox,11,Kids (5-12),Animation,3.71,5,2,0,Kids (5-12)
163,Alice Moore,7,Kids (5-12),Adventure,4.11,12,1,0,Kids (5-12)
164,Ben Hall,12,Kids (5-12),Fantasy,4.32,21,8,0,Kids (5-12)
165,Amy Wood,12,Kids (5-12),Animation,3.7,24,2,0,Kids (5-12)
166,Mark Davis,6,Kids (5-12),Children,3.94,27,3,0,Kids (5-12)
167,Sara Clark,8,Kids (5-12),Adventure,3.98,68,1,0,Kids (5-12)
168,Rob Davis,10,Kids (5-12),Children,4.52,69,3,0,Kids (5-12)
169,Dave Smith,5,Kids (5-12),Fantasy,3.82,56,8,0,Kids (5-12)
170,Emily Cole,11,Kids (5-12),Comedy,4.12,52,4,0,Kids (5-12)
171,Tim Hayes,5,Kids (5-12),Fantasy,4.58,56,8,0,Kids (5-12)
172,Sean Lee,8,Kids (5-12),Fantasy,4.78,33,8,0,Kids (5-12)
173,Alex Gray,9,Kids (5-12),Animation,4.81,45,2,0,Kids (5-12)
174,Nick Ward,8,Kids (5-12),Comedy,3.94,15,4,0,Kids (5-12)
175,Lily Martin,9,Kids (5-12),Animation,4.25,46,2,0,Kids (5-12)
176,Mia Adams,7,Kids (5-12),Fantasy,4.15,42,8,0,Kids (5-12)
177,Sara Ward,7,Kids (5-12),Fantasy,4.07,61,8,0,Kids (5-12)
178,Sam White,10,Kids (5-12),Children,4.02,50,3,0,Kids (5-12)
179,Adam Hill,8,Kids (5-12),Children,4.68,38,3,0,Kids (5-12)
180,Max Martin,8,Kids (5-12),Comedy,4.79,49,4,0,Kids (5-12)
